,id,county,total_pct_below_pov,error_total_pct_below_pov,under18_pct_below_pov,error_under18_pct_below_pov,under05_pct_below_pov,error_under05_pct_below_pov,age05to17_pct_below_pov,error_age05to17_pct_below_pov,total_185pct_poverty,error_total_185pct_poverty
53,0500000US17105,"Livingston County, Illinois",13.8,1.6,19.6,3.8,23.2,6.5,18.3,4.5,(X),(X)
54,0500000US17107,"Logan County, Illinois",8.5,1.6,11.7,4.1,8.5,5.5,12.9,5.4,(X),(X)
55,0500000US17109,"McDonough County, Illinois",22.0,2.3,16.1,4.7,22.5,7.6,13.9,4.9,(X),(X)
56,0500000US17111,"McHenry County, Illinois",7.1,0.6,10.2,1.2,10.4,2.2,10.1,1.3,(X),(X)
57,0500000US17113,"McLean County, Illinois",14.6,0.8,11.9,1.7,14.7,3.0,10.8,1.8,(X),(X)
58,0500000US17115,"Macon County, Illinois",16.2,1.2,25.7,2.9,35.0,5.1,22.2,2.7,(X),(X)
59,0500000US17117,"Macoupin County, Illinois",13.4,1.6,20.9,3.7,29.1,8.0,18.5,3.8,(X),(X)
60,0500000US17119,"Madison County, Illinois",13.7,0.8,18.3,1.7,22.1,2.9,17.0,1.7,(X),(X)
61,0500000US17121,"Marion County, Illinois",17.9,1.5,29.4,3.4,33.2,5.9,27.9,4.0,(X),(X)
62,0500000US17123,"Marshall County, Illinois",11.2,1.6,18.2,4.4,26.4,6.7,14.8,4.9,(X),(X)
63,0500000US17125,"Mason County, Illinois",15.4,2.1,22.6,4.6,15.3,6.2,24.9,5.4,(X),(X)
64,0500000US17127,"Massac County, Illinois",18.0,2.9,24.7,6.0,32.8,10.3,22.2,6.4,(X),(X)
65,0500000US17129,"Menard County, Illinois",9.6,2.1,18.4,5.2,21.5,8.8,17.4,4.9,(X),(X)
66,0500000US17131,"Mercer County, Illinois",11.4,1.9,18.5,5.2,28.8,9.7,15.4,5.5,(X),(X)
67,0500000US17133,"Monroe County, Illinois",5.0,1.6,4.7,3.1,6.8,5.1,4.1,3.1,(X),(X)
68,0500000US17135,"Montgomery County, Illinois",15.9,2.3,27.9,7.0,32.9,9.2,26.2,7.3,(X),(X)
69,0500000US17137,"Morgan County, Illinois",14.6,2.0,22.7,4.7,24.7,8.6,21.9,4.5,(X),(X)
70,0500000US17139,"Moultrie County, Illinois",9.2,2.4,12.9,5.0,14.0,6.0,12.6,6.3,(X),(X)
71,0500000US17141,"Ogle County, Illinois",9.9,1.3,14.3,2.9,17.7,5.6,13.3,2.9,(X),(X)
72,0500000US17143,"Peoria County, Illinois",16.3,1.0,21.7,2.4,26.5,3.7,19.7,2.5,(X),(X)
73,0500000US17145,"Perry County, Illinois",16.3,2.6,23.3,6.9,24.2,9.5,23.0,7.4,(X),(X)
74,0500000US17147,"Piatt County, Illinois",5.9,2.1,8.1,5.5,7.9,4.7,8.2,6.7,(X),(X)
75,0500000US17149,"Pike County, Illinois",13.9,2.2,15.6,4.3,19.0,7.1,14.3,4.4,(X),(X)
76,0500000US17151,"Pope County, Illinois",13.2,3.6,20.6,9.9,21.6,12.8,20.2,11.5,(X),(X)
77,0500000US17153,"Pulaski County, Illinois",18.9,3.9,29.4,9.7,32.9,12.9,28.2,10.8,(X),(X)
78,0500000US17155,"Putnam County, Illinois",8.8,2.0,19.1,6.9,26.9,14.4,16.9,6.6,(X),(X)
79,0500000US17157,"Randolph County, Illinois",12.9,1.7,18.3,4.0,24.3,7.2,16.3,4.1,(X),(X)
80,0500000US17159,"Richland County, Illinois",15.0,2.6,18.0,6.0,15.3,7.1,19.1,7.1,(X),(X)
81,0500000US17161,"Rock Island County, Illinois",14.8,1.1,23.6,2.6,26.5,4.5,22.5,2.6,(X),(X)
82,0500000US17163,"St. Clair County, Illinois",16.4,0.9,24.8,2.2,28.9,3.7,23.3,2.2,(X),(X)
83,0500000US17165,"Saline County, Illinois",22.2,2.8,30.6,5.9,32.8,8.1,29.8,7.1,(X),(X)
